_archivo,id_modelo,referenciaWeb,modelo,url,title,allDescs
142585700.json,142585700,Código de barras：8433325402808,8433325402808,https://www.aigostar.com/ES/productCategory/1795425684701712389,08 Proyector solar 5m 100W RGB,"Características
Modelo:
08
Color del producto:
Negro
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26700
Color de la luz:
RGB
Descripción de los puntos de venta:
16 colores estáticos;4 modos de parpadeo dinámico|Especificación
Dimensión:
L260*W215*H42mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L235*W350*H15mm
Longitud del cable:
5m|Parámetros técnicos
Potencia:
100W
Voltaje:
Cuerpo lámpara:DC3.2V/Batería: DC3.2V
Current:
1600mA
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.14h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
10W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
2000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
8000mAh
Peso neto de un solo producto:
1.8kg|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
10 pc/Caja de cartón"
142585701.json,142585701,Código de barras：8433325402815,8433325402815,https://www.aigostar.com/ES/productCategory/1795425684701712390,08 Proyector solar 5m 150W RGB,"Características
Modelo:
08
Color del producto:
Negro
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26700
Color de la luz:
RGB
Descripción de los puntos de venta:
16 colores estáticos;4 modos de parpadeo dinámico|Especificación
Dimensión:
L290*W240*H42mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L290*W350*H15mm
Longitud del cable:
5m|Parámetros técnicos
Potencia:
150W
Voltaje:
Cuerpo lámpara:DC3.2V/Batería: DC3.2V
Current:
2400mA
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.14h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
15W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
3000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
12000mAh
Peso neto de un solo producto:
2.2kg|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
5 pc/Caja de cartón"
142585702.json,142585702,Código de barras：8433325402822,8433325402822,https://www.aigostar.com/ES/productCategory/1795425684701712391,08 Proyector solar 5m 200W RGB,"Características
Modelo:
08
Color del producto:
Negro
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26700
Color de la luz:
RGB
Descripción de los puntos de venta:
16 colores estáticos;4 modos de parpadeo dinámico|Especificación
Dimensión:
L350*W290*H43mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L350*W350*H15mm
Longitud del cable:
5m|Parámetros técnicos
Potencia:
200W
Voltaje:
Cuerpo lámpara:DC3.2V/Batería: DC3.2V
Current:
3200mA
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.14h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
18W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
3600mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
16000mAh
Peso neto de un solo producto:
3.3kg|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
5 pc/Caja de cartón"
142585703.json,142585703,Código de barras：8433325402839,8433325402839,https://www.aigostar.com/ES/productCategory/1795425684701712392,09 Proyector solar 2m 50W CCT,"Características
Modelo:
09
Color del producto:
Gris
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26650
Color de la luz:
Luz cálida/Blanco natural/Luz Fría
Descripción de los puntos de venta:
Regulable y con temperatura de color ajustable;Disponible en temporizador Con mando a distancia|Especificación
Dimensión:
L153*W141*H38mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L200*W210*H17mm
Longitud del cable:
2m|Parámetros técnicos
Potencia:
50W
Voltaje:
Cuerpo lámpara:DC3.4V/Batería:DC3.2V
Current:
735mA
Temperatura del color:
3000K/4000K/6500K
Caudal luminoso:
500lm
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
5W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
1000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
4000mAh
Peso neto de un solo producto:
880g|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,PC|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
10 pc/Caja de cartón"
142585705.json,142585705,Código de barras：8433325402853,8433325402853,https://www.aigostar.com/ES/productCategory/1795425684701712394,09 Proyector solar 2m 150W CCT,"Características
Modelo:
09
Color del producto:
Gris
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26650
Color de la luz:
Luz cálida/Blanco natural/Luz Fría
Descripción de los puntos de venta:
Regulable y con temperatura de color ajustable;Disponible en temporizador Con mando a distancia|Especificación
Dimensión:
L229*W216*H45mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L390*W235*H17mm
Longitud del cable:
2m|Parámetros técnicos
Potencia:
150W
Voltaje:
Cuerpo lámpara:DC3.4V/Batería:DC3.2V
Current:
1950mA
Temperatura del color:
3000K/4000K/6500K
Caudal luminoso:
1500lm
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
15W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
3000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
12000mAh
Peso neto de un solo producto:
1.94kg|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,PC|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
5 pc/Caja de cartón"
142585706.json,142585706,Código de barras：8433325402860,8433325402860,https://www.aigostar.com/ES/productCategory/1795425684701712395,09 Proyector solar 2m 200W CCT,"Características
Modelo:
09
Color del producto:
Gris
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26650
Color de la luz:
Luz cálida/Blanco natural/Luz Fría
Descripción de los puntos de venta:
Regulable y con temperatura de color ajustable;Disponible en temporizador Con mando a distancia|Especificación
Dimensión:
L275*W246*H47mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L390*W300*H17mm
Longitud del cable:
2m|Parámetros técnicos
Potencia:
200W
Voltaje:
Cuerpo lámpara:DC3.4V/Batería:DC3.2V
Current:
2790mA
Temperatura del color:
3000K/4000K/6500K
Caudal luminoso:
2000lm
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
20W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
4000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
16000mAh
Peso neto de un solo producto:
2.63kg|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,PC|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
5 pc/Caja de cartón"
142585707.json,142585707,Código de barras：8433325402877,8433325402877,https://www.aigostar.com/ES/productCategory/1795425684701712396,09 proyector solar 2m 50W RGB,"Características
Modelo:
09
Color del producto:
Gris
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26650
Color de la luz:
RGB
Descripción de los puntos de venta:
16 colores estáticos;3 modos de parpadeo dinámico|Especificación
Dimensión:
L153*W141*H38mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L200*W210*H17mm
Longitud del cable:
2m|Parámetros técnicos
Potencia:
50W
Voltaje:
Cuerpo lámpara:DC3.4V/Batería:DC3.2V
Current:
588mA
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
5W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
1000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
4000mAh
Peso neto de un solo producto:
880g|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,PC|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
10 pc/Caja de cartón"
142585708.json,142585708,Código de barras：8433325402884,8433325402884,https://www.aigostar.com/ES/productCategory/1795425684701712397,09 proyector solar 2m 100W RGB,"Características
Modelo:
09
Color del producto:
Gris
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26650
Color de la luz:
RGB
Descripción de los puntos de venta:
16 colores estáticos;3 modos de parpadeo dinámico|Especificación
Dimensión:
L199*W191*H45mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L205*W300*H17mm
Longitud del cable:
2m|Parámetros técnicos
Potencia:
100W
Voltaje:
Cuerpo lámpara:DC3.4V/Batería:DC3.2V
Current:
1280mA
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
10W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
2000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
8000mAh
Peso neto de un solo producto:
1.43kg|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,PC|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
10 pc/Caja de cartón"
142585709.json,142585709,Código de barras：8433325402891,8433325402891,https://www.aigostar.com/ES/productCategory/1795425684701712398,09 proyector solar 2m 150W RGB,"Características
Modelo:
09
Color del producto:
Gris
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26650
Color de la luz:
RGB
Descripción de los puntos de venta:
16 colores estáticos;3 modos de parpadeo dinámico|Especificación
Dimensión:
L229*W216*H45mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L390*W235*H17mm
Longitud del cable:
2m|Parámetros técnicos
Potencia:
150W
Voltaje:
Cuerpo lámpara:DC3.4V/Batería:DC3.2V
Current:
1765mA
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
15W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
3000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
12000mAh
Peso neto de un solo producto:
1.94kg|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,PC|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
5 pc/Caja de cartón"
142585710.json,142585710,Código de barras：8433325402907,8433325402907,https://www.aigostar.com/ES/productCategory/1795425684701712399,09 proyector solar 2m 200W RGB,"Características
Modelo:
09
Color del producto:
Gris
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26650
Color de la luz:
RGB
Descripción de los puntos de venta:
16 colores estáticos;3 modos de parpadeo dinámico|Especificación
Dimensión:
L275*W246*H47mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L390*W300*H17mm
Longitud del cable:
2m|Parámetros técnicos
Potencia:
200W
Voltaje:
Cuerpo lámpara:DC3.4V/Batería:DC3.2V
Current:
2353mA
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
20W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
4000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
16000mAh
Peso neto de un solo producto:
2.63kg|Vida
Vida útil:
30000h|Material
Material principal:
Plástico,PC|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
5 pc/Caja de cartón"
