_archivo,ean,modelo,url,title,price,mainImage,allMainImages,description,desc,desc2
8491207899.json,8491207899,142569608,https://www.amazon.co.uk/dp/8491207899,"jupesa - Toy, Multicolor (SPI69066)",,https://m.media-amazon.com/images/I/51kzDuQUxcL._AC_SX425_.jpg,https://m.media-amazon.com/images/I/51kzDuQUxcL._AC_SX425_.jpg,"About this item
Bitzee Digital Pet Magicals
› See more product details",,"Product Description

Bitzee Digital Pet Magicals

Safety Warning

Use under adult supervision"
8491788824.json,8491788824,142569607,https://www.amazon.co.uk/dp/8491788824,Maleta de actividades y colorear - dinosaurios,£16.96,https://m.media-amazon.com/images/I/61sI7pvBERL._SL1002_.jpg,https://m.media-amazon.com/images/I/61sI7pvBERL._SL1002_.jpg,,"Product details
Publisher ‏ : ‎ Ediciones Saldaña, S.A.
Publication date ‏ : ‎ 1 Jan. 2022
Language ‏ : ‎ Spanish
Print length ‏ : ‎ 56 pages
ISBN-10 ‏ : ‎ 8491788824
ISBN-13 ‏ : ‎ 978-8491788829
Item weight ‏ : ‎ 426 g
Dimensions ‏ : ‎ 16.5 x 0.3 x 23.7 cm",
9792357033.json,9792357033,142552655,https://www.amazon.es/dp/9792357033,"Sparepart: B-Tech Fixed Ceiling Mount System 2, Heavy Duty Floor /, BT7822_B (System 2, Heavy Duty Floor/Ceiling Mount, Ceiling/Floor Plate, Black, Steel, 150kg, Ceiling, 6mm)",€45.03,https://m.media-amazon.com/images/I/71Wr2vc34mS._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71Wr2vc34mS._AC_SL1500_.jpg,,,Fixed Ceiling Mount
B00006BBIL.json,B00006BBIL,142530599,https://www.amazon.es/dp/B00006BBIL,APC BK500EI Back UPS CS - Uninterruptible Power Supply UPS 500VA (4 IEC Outlets),€178.90,https://m.media-amazon.com/images/I/51H+WwB0HTL._SL1000_.jpg,https://m.media-amazon.com/images/I/51H+WwB0HTL._SL1000_.jpg,"About this item
Back-UPS BK Provides guaranteed power and surge protection to computers, switchboards, WIFI, POS, and other electronic devices
4 IEC Type Outputs - Surge Protection for Phone, Modem, DSL
Up to 30 minutes of battery life after power cut
Data Line Surge Protection
Includes: USB cable, power off software, user guide","Product details
Batteries ‏ : ‎ 1 12V batteries required.
Is discontinued by manufacturer ‏ : ‎ Yes
Language ‏ : ‎ English
Product Dimensions ‏ : ‎ 40.64 x 24.13 x 23.62 cm; 6 kg
Date First Available ‏ : ‎ 27 Jun. 2005
Manufacturer ‏ : ‎ APC by Schneider Electric
ASIN ‏ : ‎ B00006BBIL
Item model number ‏ : ‎ 2700856
Best Sellers Rank: 27 in Computer Uninterruptible Power Supply Units
Customer reviews: 4.2 
4.2 out of 5 stars
    506 ratings",
B0000AYCFK.json,B0000AYCFK,142428208,https://www.amazon.co.uk/dp/B0000AYCFK,TIE DOWN ENGINEERING Tie Down Bolster Brackets,,https://m.media-amazon.com/images/I/51J-YKgTtuL._AC_SL1205_.jpg,https://m.media-amazon.com/images/I/51J-YKgTtuL._AC_SL1205_.jpg,"About this item
Series bolster Brackets
Length 10 inches
Slot 3-3/4 inches",,"Supports bolster/bunk boards. Slotted for vertical adjustment. Non-slip dimples prevent movement, increase load capacity."
B0007VV9MA.json,B0007VV9MA,141780456,https://www.amazon.co.uk/dp/B0007VV9MA,"HAMMER Ferrum TX4 Power Station with Pulley System, Leg Press & Power Lat Bar and Back Trainer Included, Multistation for Leg Training, Abdomen, Back & Co, 50 Exercises",,https://m.media-amazon.com/images/I/7162iZkVfeL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/7162iZkVfeL._AC_SL1500_.jpg,,,
B000CFYTSC.json,B000CFYTSC,142576736,https://www.amazon.co.uk/dp/B000CFYTSC,"Flojet, 01740004G, Strainer, In Line, 1/2"", Black",,https://m.media-amazon.com/images/I/61aQ2MizNkL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61aQ2MizNkL._AC_SL1500_.jpg,,,
B000CS7QVG.json,B000CS7QVG,142560198,https://www.amazon.co.uk/dp/B000CS7QVG,Waterman Exception Fountain Pen | Slim Blue with Silver Plated Clip | Fine Nib with Blue Ink Cartridge | Gift Box,EUR374.46,https://m.media-amazon.com/images/I/91e+OsixCQL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91e+OsixCQL._AC_SL1500_.jpg,"About this item
Refined square profile tapers into a rounded front grip, feeling secure and comfortable in the hand
Luxurious deep blue lacquered barrel and silver-plated trim and clip for a premium finish
Intricately engraved rhodium-plated 18-karat solid gold nib boasting the iconic Waterman emblem
Meticulously crafted in France to enhance your signature style
Presented in a premium dark blue Waterman gift box; ideal for marking momentous occasions
› See more product details",,
B000HEZDEC.json,B000HEZDEC,142560240,https://www.amazon.co.uk/dp/B000HEZDEC,DYMO LetraTag Metallic Labels | Authentic | Black Print on Metallic Silver | 12mm x 4m | Self-Adhesive Multipurpose Labels for LetraTag Label Makers,EUR10.98,https://m.media-amazon.com/images/I/81QG+AEQuyL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81QG+AEQuyL._AC_SL1500_.jpg,"About this item
Metallic silver, tear-resistant labels for creative in-home use
Durable, wipeable labels for indoor use
Bold black-on-silver printing for enhanced visual impact and clear, sharp text
Split back for easy peel; Compatible with LetraTag label makers
DYMO is prioritising FSC certified and recycled materials, ensuring that all products are truly made well; external cassettes are made from 100% recycled materials
› See more product details",,
B000J3TZKE.json,B000J3TZKE,142560421,https://www.amazon.co.uk/dp/B000J3TZKE,Waterman Expert Ballpoint Pen | Gloss Black with 23k Gold Trim | Medium Tip | Blue Ink | Gift Box,£77.94,https://m.media-amazon.com/images/I/81Ube99oOoL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81Ube99oOoL._AC_SL1500_.jpg,"About this item
Generous silhouette for premium, executive styling and supreme comfort when writing
Sophisticated gloss black lacquered body, gleaming 23-karat golden trim and clip, and broad ring embellished with the brand name
Skilfully constructed ballpoint tip produces flawless lines that dry quickly, giving you free reign for spontaneous expression - anytime, anywhere
Meticulously crafted in France to enhance your signature style
Presented in a premium dark blue Waterman gift box; ideal for celebrating graduations, promotions and new jobs
› See more product details",,
