description,desc,desc2,id_modelo,idioma_detectado
,,Fixed Ceiling Mount,142552655,muy_corto
,,,142489199,vacio
"About this item
Back-UPS BK Provides guaranteed power and surge protection to computers, switchboards, WIFI, POS, and other electronic devices
4 IEC Type Outputs - Surge Protection for Phone, Modem, DSL
Up to 30 minutes of battery life after power cut
Data Line Surge Protection
Includes: USB cable, power off software, user guide","Product details
Batteries ? : ? 1 12V batteries required.
Is discontinued by manufacturer ? : ? Yes
Language ? : ? English
Product Dimensions ? : ? 40.64 x 24.13 x 23.62 cm; 6 kg
Date First Available ? : ? 27 Jun. 2005
Manufacturer ? : ? APC by Schneider Electric
ASIN ? : ? B00006BBIL
Item model number ? : ? 2700856
Best Sellers Rank: 128 in Computer Uninterruptible Power Supply Units
Customer reviews: 4.2 
4.2 out of 5 stars
    506 ratings",,142530599,eng
"About this item
No more lost lids.
Wide openings make filling and cleaning easier.
Also suitable for muesli, flakes, flour, etc. Guaranteed leak proof fit this bottle in the backpack, suitcase, car or boat.
High Density Polyethylene","Product details
Is discontinued by manufacturer ? : ? No
Product Dimensions ? : ? 7 x 7 x 16.5 cm; 64 g
Date First Available ? : ? 7 Aug. 2012
Manufacturer ? : ? Nalgene
ASIN ? : ? B000KA4F2O
Item model number ? : ? 661195790161
Best Sellers Rank: 84,528 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
2,376 in Canteens & Water Bottles
24,607 in Kitchen Storage & Organisation
Customer reviews: 4.6 
4.6 out of 5 stars
    1,970 ratings",Nalgene The leak-proof loop top opens to reveal a high and low contoured spout that is easy to fill in the fountain or sink. One-handed push button for easy open/close; locking bail for maximum secure against leaks.,142303756,eng
"About this item
Finish with lost lids
Takes up to 1
5 liters of your favorite drink on the tour
Wide openings make filling and cleaning more convenient
Also suitable for muesli, flakes, flour, etc
� See more product details",,"Finish with lost lids. Take up to 1.5 liters of your favorite beverage on the tour. Wide openings make filling and cleaning more convenient. Also suitable for muesli, flakes, flour, etc. These bottles fit in backpack, suitcase, car or boat. 3 sizes for every need.",142303757,eng
"About this item
Unique: Plug & Play device that offers a very simple and quick installation, with all functions pre-configured for immediate and hassle-free take-off
Highly accurate joystick with adjustable resistance control
Swivel handle with built-in locking system offers perfect control over the aircraft helm
Air brake trigger (civilian flights) or rapid firing (military flights) with multi-directional switch hat (panoramic view)
Exclusive MAPPING button with which users can instantly relocate functions from one button to another","Product details
Is discontinued by manufacturer ? : ? No
Batteries ? : ? 1 Lithium Ion batteries required.
Rated ? : ? Unknown
Language ? : ? English
Manual ? : ? German
Product Dimensions ? : ? 23.6 x 22 x 23.5 cm; 1.19 kg
Release date ? : ? 25 Feb. 2009
Subtitles: ? : ? English
ASIN ? : ? B000V6HFZQ
Item model number ? : ? 4160526
Best Sellers Rank: 12,447 in Videogames (See Top 100 in Videogames)
40 in PlayStation 3 Controllers
73 in PC Joysticks
Customer reviews: 4.3 
4.3 out of 5 stars
    590 ratings","Finally, a joystick set directly to take off instantly! Fully programmable for PC and PS3!",142489671,eng
"Quality and precision at your fingertips
� See more product details",,NUEVO 2024 - Punta de repuesto de carburo para marcador 334610,142505407,por
"EAN: 4031177003248
� See more product details",,"De metal con pantalla de lat�n (ms 63) en cajas de pl�stico, que se pueden unir y apilar, pantalla de banda 150 x 2500 mm. Para aparatos de herramientas de configurar, ajustar, grosor de las tolerancias, ajustar los dispositivos de inferioridad, crear formas, juego de almacenamiento, etc. compensar las tolerancias lat�n, acero inoxidable). material de tolerancia de 0,01 � 0,03 mm 0,002 mm de grosor: 0,04 � 0,05 mm 0,003 mm 0,06 � 0,18 mm 0,005 mm, 0,20 � 0,30 mm 0,007 mm 0,04 � 0,50 mm 0,010 mm",142505401,spa
"EAN: 4031177003293
� See more product details",,"De metal con pantalla de lat�n (ms 63) en cajas de pl�stico, que se pueden unir y apilar, pantalla de banda 150 x 2500 mm. Para aparatos de herramientas de configurar, ajustar, grosor de las tolerancias, ajustar los dispositivos de inferioridad, crear formas, juego de almacenamiento, etc. compensar las tolerancias lat�n, acero inoxidable). material de tolerancia de 0,01 � 0,03 mm 0,002 mm de grosor: 0,04 � 0,05 mm 0,003 mm 0,06 � 0,18 mm 0,005 mm, 0,20 � 0,30 mm 0,007 mm 0,04 � 0,50 mm 0,010 mm",142505404,spa
"EAN: 4031177002166
� See more product details",,"Stainless steel metal screen (18 CR 9 ni) in plastic boxes, which can be joined and stacked, ribbon 150 x 2500 mm. For tool appliances set up, adjust, thickness tolerances, adjust inferiority devices, create shapes, storage set, etc. compensate tolerances brass, stainless steel). Tolerance material 0-0.02mm 0.001mm thickness: 0.05-0.05mm 0.001mm 0.05-0.18mm 0.000mm, 0.2-0.3mm 0.01mm 0.002 � 0.5mm 0.01mm",142505425,eng
"EAN: 4031177002227
� See more product details",,"Pantalla de metal de acero inoxidable (18 CR 9 ni) en cajas de pl�stico, que se pueden unir y apilar, cinta de 150 x 2500 mm. Para aparatos de herramientas de configurar, ajustar, grosor de las tolerancias, ajustar los dispositivos de inferioridad, crear formas, juego de almacenamiento, etc. compensar las tolerancias lat�n, acero inoxidable). material de tolerancia de 0,01 � 0,03 mm 0,002 mm de grosor: 0,04 � 0,05 mm 0,003 mm 0,06 � 0,18 mm 0,005 mm, 0,20 � 0,30 mm 0,007 mm 0,04 � 0,50 mm 0,010 mm",142505433,spa
