_archivo,id_modelo,modelo,ean,referenciaWeb,url,title,price,mainImage,allMainImages,desc,description
142570447.json,142570447,2065B,6941590001760,2065B,https://www.smallrigreseller.com/smallrig-7-inch-articulating-arm-2065.html,SmallRig Articulating Arm (5.5 inches) 2065B,$12.90,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/2065-sr-1_1_.jpg.jpg,"https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/2065-sr-1_1_.jpg.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/0/2065-sr-1_1_.jpg.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/0/2065-sr-2.jpg.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/0/2065-sr-3.jpg.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/0/2065-sr-4.jpg.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/0/2065-sr-5.jpg.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/0/2065-sr-6.jpg.jpg","1.It is equipped with 1/4"" screws on both ends respectively.

2.It could attach monitor via the 1/4"" screw on the one end and attach accessories with 1/4""-20 threaded holes on the other end.

3.Mounted with 1/4"" screw is a rubber cushion which could prevent the scratches of monitor and help to lock the monitor tighter.

4.It features an ergonomic wingnut for great convenience that could help to adjust any angles based on your needs.","PRODUCT DESCRIPTION

 

SmallRig Articulating Arm (5.5 inches) 2065

It is equipped with 1/4"" screws on both ends respectively. Thus, it could attach monitor via the 1/4"" screw on the one end and attach accessories with 1/4""-20 threaded holes on the other end, like cage, NATO Rail 1973, 15mm Rod 1182 and Quick Release Rod Clamp 1976 etc. Mounted with 1/4"" screw is a rubber cushion which could prevent the scratches of monitor and help to lock the monitor tighter. It features an ergonomic wingnut for great convenience that could help to adjust any angles based on your needs.

Key Features

1.It is equipped with 1/4"" screws on both ends respectively.

2.It could attach monitor via the 1/4"" screw on the one end and attach accessories with 1/4""-20 threaded holes on the other end.

3.Mounted with 1/4"" screw is a rubber cushion which could prevent the scratches of monitor and help to lock the monitor tighter.

4.It features an ergonomic wingnut for great convenience that could help to adjust any angles based on your needs.

Work With

Universal

Packing List

1 x 5.5 inch Articulating Arm 2065

Technical Data

Product Dimensions: 86x60x25 mm

Net Weight: 168g

Package Size: 155x100x40mm

Material(s): Aluminum Alloy/Stainless Steel/ Free-cutting Steel

Maximum payload: 1.5kg"
142570449.json,142570449,2971B,6941590011837,2971B,https://www.smallrigreseller.com/smallrig-sony-multi-camera-control-cable-multi-to-type-c-for-smallrig-control-handle-2971.html,SmallRig Control Cable for Sony 2971B,$12.90,https://www.smallrigreseller.com/media/edm/discontinued3.jpg,"https://www.smallrigreseller.com/media/edm/discontinued3.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/9/2971-1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/9/2971-1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/9/2971-3.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/9/2971-2.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/9/2971-4.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/9/2971-5.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/9/2971-6.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/9/2971-7.jpg","1. Universal USB-C interface.

2. Universal cable  for wireless follow focus system and handles with record start/stop remote trigger.","PRODUCT DESCRIPTION

 

SmallRig Control Cable for Sony 2971B

SmallRig Control Cable for Sony 2971B is a universal cable for wireless follow focus kits (3781, 3782, 3918) and handles with record start/stop remote trigger (3322, 3323, 3324), It’s compatible with Sony(A7/A7R/A7S/A7II/A7RII/A7SII/A7SIII/FX3/A7III/A7RIII/A7 IV/A7RIV/A9/A9II/A5100/A6000/A6100/A6300/A6400/A6500/A6600/RX100 III/RX100IV/RX100V/RX100 VI/RX100 VII) cameras.

Note: 

1. The USB-C interface for connecting the Wireless Receiver Motor or Handles with Record Start/Stop Remote Trigger.

2. MULTI interface  for connecting the camera.

Work With

1. SonyA7/A7R/A7S/A7II/A7RII/A7SII/A7SIII/FX3/A7III/A7RIII/A7 IV/A7RIV/A9/A9II/A5100/A6000/A6100/A6300/A6400/A6500/A6600/RX100 III/RX100IV/RX100V/RX100 VI/RX100 VII

2. Wireless Follow Focus Kits (3781, 3782, 3918)

3. Handles with Record Start/Stop Remote Trigger (3322, 3323, 3324)

Packing List

1 x Control Cable

Technical Data

Product Dimensions: 322.5 x 25 x 8 mm

Package Dimensions: 85 x 75 x 24 mm

Product Weight: 8g±5g

Package Weight: 25g±5g

Material(s): TPE"
142570450.json,142570450,3238B,6941590015873,3238B,https://www.smallrigreseller.com/smallrig-mini-magic-arm-with-universal-ball-head-3238.html,SmallRig mini Magic Arm with Universal Ball Head 3238B,$17.90,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3238b-1.jpg,"https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3238b-1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3238b-1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3238b-3.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3238b-2.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3238b-4.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3238b-5.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3238b-6.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3238b-7.jpg","1. Compact and portable.

2. Maximum load-bearing capacity of 5kg / 11lb.

3. 1/4”-20 threaded anti-scratch and anti-twist rubber pads.

4. Adjustable universal ball head.

5. Easy one-handed assembly and disassembly.","PRODUCT DESCRIPTION

 

SmallRig mini Magic Arm with Universal Ball Head 3238B

SmallRig mini Magic Arm with Universal Ball Head 3238B consists of two 1/4""-20 screw ball heads and one ball head clamp. It can be attached to the top or side of a cage on one end and to a monitor on the other. Maximum load-bearing capacity of 5kg / 11lb. Compact and portable, this mini magic arm suits for shooting with lightweight equipment. The 1/4”-20 threaded anti-scratch and anti-twist rubber pads prevent looseness due to vibration.

Note:

1. Maximum load-bearing capacity: 5kg / 11lb.

2. Do not use it in high-impact activities.

3. Avoid prolonged contact with water and rain.

4. Applicable temperature range: -20°C to 60°C / -4°F to 140°F.

Packing List

Magic Arm with Ball Head x 1

Allen Wrench x 1

Technical Data

Product Dimensions: 109.30 x 37.40 x 28mm / 4.30 x 1.47 x 1.10in

Package Dimensions: 77.0 x 65.5 x 41.0mm / 3.0 x 2.6 x 1.6in

Product Weight: 82.0 ± 5.0g / 2.9 ± 0.2oz

Package Weight: 107.5 ± 5.0g / 3.79 ± 0.18oz

Material(s): Aluminum Alloy, ABS"
142570452.json,142570452,3291,6941590005034,3291,https://www.smallrigreseller.com/smallrig-62-5-64-5-seamless-focus-gear-ring-3291.html,SmallRig Φ62.5-Φ64.5 Seamless Focus Gear Ring 3291,$2.00,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3291-c-1.jpg,"https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3291-c-1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3291-c-2.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3291-c-1.jpg","1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness, fits lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Coaxial with the lens, provides stable transmission.","PRODUCT DESCRIPTION

 

SmallRig Φ62.5-Φ64.5 Seamless Focus Gear Ring 3291

SmallRig Φ62.5-Φ64.5 Seamless Focus Gear Ring 3291 is designed to fit lenses for precise and stable focal length adjustment. Features standard 0.8 MOD and made by elastic material, suits lens seamlessly and evenly. The ring is compatible with Φ62.5-Φ64.5mm lenses and can work with Mini Follow Focus 3010 and other follow focus systems. It makes less noise and no distortion, allowing 360º smooth rotation and precise focus adjustment.

Note: Gear slippage or jam may occur when mounted onto lenses larger than Φ62.5-Φ64.5mm across.

Key Features

1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness, fits lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Coaxial with the lens, provides stable transmission.

Work With

Standard 0.8 MOD gear

Packing List

1 x Φ62.5-Φ64.5mm Seamless Focus Gear Ring

Technical Data

Product Dimensions:  Φ70.4 x 13.2 mm

Package Dimensions:  145 x 95 x 15 mm

Net Weight:  10g±5g

Package Weight:   20g±5g

Material: Environment-friendly rubber"
142570453.json,142570453,3292,6941590005041,3292,https://www.smallrigreseller.com/smallrig-66-68-seamless-focus-gear-ring-3292.html,SmallRig Φ66-Φ68 Seamless Focus Gear Ring 3292,$2.00,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3292-c-1.jpg,"https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3292-c-1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3292-c-2.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3292-c-1.jpg","1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Coaxial with the lens, provides stable transmission.","PRODUCT DESCRIPTION

 

SmallRig Φ66-Φ68 Seamless Focus Gear Ring 3292

SmallRig Φ66-Φ68 Seamless Focus Gear Ring 3292 is designed to fit lenses for precise and stable focal length adjustment. Features standard 0.8 MOD and made by elastic material, suits lens seamlessly and evenly. The ring is compatible with Φ66-Φ68mm lenses and can work with Mini Follow Focus 3010 and other follow focus systems. It makes less noise and no distortion, allowing 360º smooth rotation and precise focus adjustment.

Note: Gear slippage or jam may occur when mounted onto lenses larger than Φ66-Φ68mm across.

Key Features

1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Coaxial with the lens, provides stable transmission.

Work With

Standard 0.8 MOD gear

Packing List

1 x Φ66-Φ68mm Seamless Focus Gear Ring

Technical Data

Product Dimensions:  Φ73.6 x 13.2 mm

Package Dimensions:  145 x 95 x 15 mm

Net Weight:  10g±5g

Package Weight:   20g±5g

Material: Environment-friendly rubber"
142570454.json,142570454,3293,6941590005058,3293,https://www.smallrigreseller.com/smallrig-72-74-seamless-focus-gear-ring-3293.html,SmallRig Φ72-Φ74 Seamless Focus Gear Ring 3293,$2.00,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3293-c-1.jpg,"https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3293-c-1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3293-c-2.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3293-c-1.jpg","1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Coaxial with the lens provides stable transmission.","PRODUCT DESCRIPTION

 

SmallRig Φ72-Φ74 Seamless Focus Gear Ring 3293

SmallRig Φ72-Φ74 Seamless Focus Gear Ring 3293 is designed to fit lenses for precise and stable focal length adjustment. Features standard 0.8 MOD and made by elastic material, suits lens seamlessly and evenly. The ring is compatible with Φ72-Φ74mm lenses and can work with Mini Follow Focus 3010 and other follow focus systems. It makes less noise and no distortion, allowing 360º smooth rotation and precise focus adjustment.

Note: Gear slippage or jam may occur when mounted onto lenses larger than Φ72-Φ74mm across.

Key Features

1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Coaxial with the lens provides stable transmission.

Work With

Standard 0.8 MOD gear

Packing List

1 x Φ72-Φ74mm Seamless Focus Gear Ring

Technical Data

Product Dimensions:  Φ80 x 13.2 mm

Package Dimensions:  145 x 95 x 15 mm

Net Weight:  12g±5g

Package Weight:   22g±5g

Material: Environment-friendly rubber"
142570455.json,142570455,3294,6941590005065,3294,https://www.smallrigreseller.com/smallrig-75-77-seamless-focus-gear-ring-3294.html,SmallRig Φ75-Φ77 Seamless Focus Gear Ring 3294,$2.00,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3294-c-1.jpg,"https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3294-c-1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3294-c-2.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3294-c-1.jpg","1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. 360º smooth rotation.

4. Concentric ring and lens make an even and stable drive. Coaxial with the lens, provides stable transmission.","PRODUCT DESCRIPTION

 

SmallRig Φ75-Φ77 Seamless Focus Gear Ring 3294

SmallRig Φ75-Φ77 Seamless Focus Gear Ring 3294 is designed to fit lenses for precise and stable focal length adjustment. Features standard 0.8 MOD and made by elastic material, suits lens seamlessly and evenly. The ring is compatible with Φ75-Φ77mm lenses and can work with Mini Follow Focus 3010 and other follow focus systems. It makes less noise and no distortion, allowing 360º smooth rotation and precise focus adjustment.

Note: Gear slippage or jam may occur when mounted onto lenses larger than Φ75-Φ77mm across.

Key Features

1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. 360º smooth rotation.

4. Concentric ring and lens make an even and stable drive. Coaxial with the lens, provides stable transmission.

Work With

Standard 0.8 MOD gear

Packing List

1 x Φ75-Φ77mm Seamless Focus Gear Ring

Technical Data

Product Dimensions:  Φ82.4 x 13.2 mm

Package Dimensions:  145 x 95 x 15 mm

Net Weight:  12g±5g

Package Weight:   22g±5g

Material: Environment-friendly rubber"
142570456.json,142570456,3295,6941590005072,3295,https://www.smallrigreseller.com/smallrig-78-80-seamless-focus-gear-ring-3295.html,SmallRig Φ78-Φ80 Seamless Focus Gear Ring 3295,$2.00,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3294-c-1_1.jpg,"https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3294-c-1_1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3294-c-2_1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3294-c-1_1.jpg","1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Concentric ring and lens make an even and stable drive. Coaxial with the lens, provides stable transmission.","PRODUCT DESCRIPTION

 

SmallRig Φ78-Φ80 Seamless Focus Gear Ring 3295

SmallRig Φ78-Φ80 Seamless Focus Gear Ring 3295 is designed to fit lenses for precise and stable focal length adjustment. Features standard 0.8 MOD and made by elastic material, suits lens seamlessly and evenly. The ring is compatible with Φ78-Φ80mm lenses and can work with Mini Follow Focus 3010 and other follow focus systems. It makes less noise and no distortion, allowing 360º smooth rotation and precise focus adjustment.

Note: Gear slippage or jam may occur when mounted onto lenses larger than Φ78-Φ80mm across.

Key Features

1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Concentric ring and lens make an even and stable drive. Coaxial with the lens, provides stable transmission.

Work With

Standard 0.8 MOD gear

Packing List

1 x Φ78-Φ80mm Seamless Focus Gear Ring

Technical Data

Product Dimensions:  Φ85.6 x 13.2 mm

Package Dimensions:  145 x 95 x 15 mm

Net Weight:  12g±5g

Package Weight:   22g±5g

Material: Environment-friendly rubber"
142570457.json,142570457,3296,6941590005089,3296,https://www.smallrigreseller.com/smallrig-81-83-seamless-focus-gear-ring-3296.html,SmallRig Φ81-Φ83 Seamless Focus Gear Ring 3296,$2.00,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3296-c-1.jpg,"https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3296-c-1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3296-c-2.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/3296-c-1.jpg","1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Concentric ring and lens make an even and stable drive. Coaxial with the lens, provides stable transmission.","PRODUCT DESCRIPTION

 

SmallRig Φ81-Φ83 Seamless Focus Gear Ring 3296

SmallRig Φ81-Φ83 Seamless Focus Gear Ring 3296 is designed to fit lenses for precise and stable focal length adjustment. Features standard 0.8 MOD and made by elastic material, suits lens seamlessly and evenly. The ring is compatible with Φ81-Φ83mm lenses and can work with Mini Follow Focus 3010 and other follow focus systems. It makes less noise and no distortion, allowing 360º smooth rotation and precise focus adjustment.

Note: Gear slippage or jam may occur when mounted onto lenses larger than Φ81-Φ83mm across.

Key Features

1. Standard 0.8 MOD, anti-slip surface design, with accurate conduction.

2. Moderate stiffness fits the lens perfectly.

3. Support 360-degree rotation, seamless switching.

4. Concentric ring and lens make an even and stable drive. Coaxial with the lens, provides stable transmission.

Work With

Standard 0.8 MOD gear

Packing List

1 x Φ81-Φ83mm Seamless Focus Gear Ring

Technical Data

Product Dimensions:  Φ88.8 x 13.2 mm

Package Dimensions:  145 x 95 x 15 mm

Net Weight:  12g±5g

Package Weight:   22g±5g

Material: Environment-friendly rubber"
142570458.json,142570458,3515C,6941590012858,3515C,https://www.smallrigreseller.com/smallrig-drop-in-hawklock-mini-magic-arm-with-quick-release-ball-head-3515.html,SmallRig Drop-in HawkLock mini Magic Arm with Quick Release Ball Head 3515C,$55.90,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3515b-01_1.jpg,"https://www.smallrigreseller.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3515b-01_1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/5/3515b-01_1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/5/3515b-02_1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/5/3515b-03_1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/5/3515b-04_1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/5/3515b-05_1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/5/3515b-06_1.jpg,https://www.smallrigreseller.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/5/3515b-07_1.jpg","1. Quickly locked and unlocked through a click without jamming.

2. 360° freely adjustable ball head.

3. Supports ball heads with different interfaces.","PRODUCT DESCRIPTION

 

SmallRig Drop-in HawkLock mini Magic Arm with Quick Release Ball Head 3515C

SmallRig Magic Arm with Quick Release Ball Head 3515C is a quick-release mount, which features 1/4""-20 threaded screw slots on both ends, with cushions to enhance friction and prevent scratches. Its quick-release ball head is compatible with devices with 1/4""-20 threads, such as cameras, monitors, cages, mounting plates, etc. and the quick-release plate can buckle vertically and stable into the baseplate, causing no deflection. The magic arm is easy to lock and unlock. The ball head, together with a clamp, enables universal adjustment of the magic arm. It is removable and replaceable. It’s compatible with accessories of 2132, 2133, 2134, 2114, 2108, BUM2383, and 2211, you can choose to get the above accessories according to your needs. This magic arm, which holds up to 5kg, locks devices securely during shooting.

Note: To prevent accidental contact from causing unlocking, the structure of HawkLock Quick Release is designed to prevent accidental contact, and the wrench also has a certain free movement in the locked state. The situation mentioned above is not a quality problem without affecting normal use.

Packing List

1 x Magic Arm with Quick Release Ball Head

1 x Allen Wrench

Technical Data

Product Dimensions: 27.6 x 58.8 x 142.4 mm

Package Dimensions: 156 x 83 x 43 mm

Net Weight: 185g±5g

Package Weight: 221g±5g

Material: Aluminum Alloy, Stainless Steel"
